Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
78384;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 11 14 15}{0 2 3 10 14}{0 3 10 11 14}{0 5 6 12 13};22 7 2 8 1 7 11 2 1 7 5 8 10 5 8 16;11;1;10;16 65 110 84 24
78391;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 5 6 7 12}{0 4 5 6 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 7 14}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 2 3 6 14}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15};22 6 2 9 1 8 5 7 1 7 11 2 10 5 8 16;11;2;9;16 65 110 84 24
78402;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 11 14 15}{0 2 3 10 14}{1 3 5 6 15}{0 3 10 11 14}{0 5 6 12 13};22 6 2 9 1 8 11 1 1 7 5 8 10 5 8 16;11;1;10;16 64 107 81 23
78419;0;{0 9 12 13 15}{0 6 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 11 14 15}{0 2 3 10 14}{1 3 5 6 15}{0 3 10 11 14}{0 5 6 12 13};22 5 2 10 1 8 11 1 1 8 5 7 10 5 8 16;11;2;9;16 64 107 81 23
78428;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 5 6 7 15}{0 9 12 13 15}{0 3 6 7 15}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 2 3 6 10}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 3 6 10 14}{0 9 10 11 12}{0 5 6 13 15}{0 6 12 13 15}{0 3 6 14 15}{0 3 11 14 15}{0 3 10 11 14}{0 5 6 12 13};24 5 1 8 1 7 10 4 1 7 6 8 10 5 7 16;11;3;8;16 65 110 84 24
78429;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 2 3 6 10}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 3 6 10 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 6 12 13 15}{0 3 6 14 15}{0 3 11 14 15}{0 3 10 11 14}{0 5 6 12 13};22 7 1 8 1 7 12 2 1 7 6 8 10 5 7 16;11;2;9;16 65 110 84 24
78436;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 2 3 6 10}{0 5 6 7 12}{0 4 5 6 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 3 6 10 14}{0 3 6 7 14}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 3 7 14 15};22 6 1 9 1 8 6 7 1 7 12 2 10 5 7 16;11;3;8;16 65 110 84 24
78447;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 2 3 6 10}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 3 6 10 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 3 6 14 15}{0 3 11 14 15}{1 3 5 6 15}{0 3 10 11 14}{0 5 6 12 13};22 6 1 9 1 8 12 1 1 7 6 8 10 5 7 16;11;2;9;16 64 107 81 23
78464;0;{0 9 12 13 15}{0 6 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 2 3 6 10}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 3 6 10 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 3 6 14 15}{0 3 11 14 15}{1 3 5 6 15}{0 3 10 11 14}{0 5 6 12 13};22 5 1 10 1 8 12 1 1 8 6 7 10 5 7 16;11;3;8;16 64 107 81 23
78497;0;{0 10 12 14 15}{0 5 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 2 6 7 14}{0 1 5 9 15}{0 5 9 13 15}{0 10 12 13 15}{0 9 10 13 15}{0 5 6 7 12}{0 4 5 6 12}{0 6 7 12 14}{0 1 9 10 15}{1 9 10 11 15}{0 7 12 14 15}{0 8 9 10 12}{0 1 3 10 15}{1 3 10 11 15}{0 9 10 12 13}{0 5 7 12 15}{0 3 10 14 15}{0 2 3 10 14}{0 3 7 14 15}{0 2 3 7 14};22 6 3 8 1 8 4 8 1 7 11 2 10 5 8 16;11;4;7;16 65 110 84 24
78571;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 2 10 11 14}{0 6 12 14 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15}{1 3 5 6 15}{0 5 6 12 13};22 6 3 8 1 8 11 1 1 7 4 9 10 5 8 16;11;3;8;16 64 107 81 23
78731;0;{0 9 12 13 15}{0 2 10 11 14}{0 6 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15}{1 3 5 6 15}{0 5 6 12 13};22 5 3 9 1 8 11 1 1 8 4 8 10 5 8 16;11;4;7;16 64 107 81 23
79402;0;{0 2 3 11 15}{0 2 6 14 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 6 5 6 2 9 8 2 1 8 4 8 9 3 9 18;12;2;10;16 65 110 84 24
79404;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15};21 6 5 6 2 10 8 2 1 9 4 8 10 1 9 18;12;2;10;16 64 107 81 23
79406;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15};20 8 5 6 2 9 8 2 1 8 4 8 11 1 9 18;12;2;10;16 65 110 84 24
79408;0;{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 6 3 6 2 9 10 2 1 8 4 10 9 3 9 16;12;2;10;16 65 110 84 24
79410;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};21 6 3 6 2 10 10 2 1 9 4 10 10 1 9 16;12;2;10;16 64 107 81 23
79411;0;{0 1 5 7 15}{0 1 3 7 15}{0 5 6 7 15}{0 2 10 11 14}{0 3 6 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 6 3 6 2 9 8 4 1 8 4 10 11 1 9 16;12;1;11;16 64 107 81 23
79412;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};20 8 3 6 2 9 10 2 1 8 4 10 11 1 9 16;12;1;11;16 65 110 84 24
79418;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15};20 8 3 8 2 9 8 2 1 8 4 8 11 1 11 16;12;2;10;16 65 110 84 24
79565;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 6 14 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 6 5 7 2 9 8 1 1 7 4 8 9 4 9 18;12;3;9;16 64 107 81 23
79566;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};20 8 5 7 2 9 8 1 1 7 4 8 11 2 9 18;12;3;9;16 65 110 84 24
79575;0;{0 5 6 7 15}{0 2 10 11 14}{0 3 6 7 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 6 3 7 2 9 8 3 1 7 4 10 11 2 9 16;12;3;9;16 65 110 84 24
79577;0;{0 2 10 11 14}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{3 5 6 7 15}{0 3 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};21 6 3 8 2 10 9 1 1 7 4 10 11 2 9 16;12;3;9;16 64 107 81 23
79578;0;{0 1 9 13 15}{0 1 5 13 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 6 3 7 2 9 10 1 1 7 4 10 9 4 9 16;12;1;11;16 64 107 81 23
79579;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};20 8 3 7 2 9 10 1 1 7 4 10 11 2 9 16;12;1;11;16 65 110 84 24
79596;0;{0 1 9 13 15}{0 1 5 13 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15}{1 3 5 6 15};22 6 3 9 2 9 8 1 1 7 4 8 9 4 11 16;12;3;9;16 65 110 84 24
79597;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15}{1 3 5 6 15};20 8 3 9 2 9 8 1 1 7 4 8 11 2 11 16;12;3;9;16 65 110 84 24
79639;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{1 3 5 6 15};20 7 5 7 2 10 8 1 1 8 4 8 11 1 9 18;12;3;9;16 64 107 81 23
79642;0;{0 2 3 11 15}{0 2 6 14 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 5 5 7 2 10 8 1 1 8 4 8 9 3 9 18;12;3;9;16 63 104 78 22
79643;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15}{1 3 5 6 15};21 5 5 7 2 11 8 1 1 9 4 8 10 1 9 18;12;3;9;16 65 110 84 24
79656;0;{0 5 6 7 15}{0 2 10 11 14}{0 3 6 7 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 5 3 7 2 10 8 3 1 8 4 10 11 1 9 16;12;3;9;16 64 107 81 23
79657;0;{0 2 10 11 14}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{3 5 6 7 15}{0 3 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};21 5 3 8 2 11 9 1 1 8 4 10 11 1 9 16;12;3;9;16 65 110 84 24
79658;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{1 3 5 6 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};20 7 3 7 2 10 10 1 1 8 4 10 11 1 9 16;12;1;11;16 64 107 81 23
79661;0;{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 5 3 7 2 10 10 1 1 8 4 10 9 3 9 16;12;2;10;16 63 104 78 22
79662;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 1 5 9 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15}{1 3 5 6 15}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};21 5 3 7 2 11 10 1 1 9 4 10 10 1 9 16;12;2;10;16 65 110 84 24
79674;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{5 9 12 13 15}{0 10 11 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15}{1 3 5 6 15};20 7 3 9 2 10 8 1 1 8 4 8 11 1 11 16;12;3;9;16 65 110 84 24
79711;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 6 14 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 7 5 6 2 8 8 2 1 7 4 8 9 4 9 18;12;2;10;16 65 110 84 24
79712;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 14}{0 2 11 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};20 9 5 6 2 8 8 2 1 7 4 8 11 2 9 18;12;2;10;16 65 110 84 24
79766;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 1 3 7 15}{0 5 6 7 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 6 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};24 5 3 6 2 8 8 4 1 7 4 10 9 4 9 16;12;1;11;16 65 110 84 24
79767;0;{0 1 5 7 15}{0 1 3 7 15}{0 5 6 7 15}{0 2 10 11 14}{0 3 6 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 7 3 6 2 8 8 4 1 7 4 10 11 2 9 16;12;1;11;16 65 110 84 24
79768;0;{0 1 9 13 15}{0 1 5 13 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};22 7 3 6 2 8 10 2 1 7 4 10 9 4 9 16;12;1;11;16 65 110 84 24
79769;0;{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 6 11 14 15}{0 2 6 11 14}{0 2 3 6 11}{0 3 6 11 15};20 9 3 6 2 8 10 2 1 7 4 10 11 2 9 16;12;1;11;16 65 110 84 24
79803;0;{0 1 9 13 15}{0 1 5 13 15}{0 9 12 13 15}{0 5 12 13 15}{0 2 10 11 14}{0 3 9 11 15}{0 1 3 9 15}{0 9 11 12 15}{0 11 12 14 15}{0 10 11 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 2 3 6 14}{0 3 6 14 15}{0 2 3 11 14}{0 3 11 14 15};22 7 3 8 2 8 8 2 1 7 4 8 9 4 11 16;12;2;10;16 65 110 84 24
